Date,Price_10g_hist,Price_10g_mcx,Gold_Price
2022-04-12,47965.630877553966,52656.0,52656.0
2022-04-13,48345.17015769929,52871.0,52871.0
2022-04-14,48024.852508560136,52793.0,52793.0
2022-04-15,48024.852508560136,,48024.852508560136
2022-04-18,48024.852508560136,53104.0,53104.0
2022-04-19,48234.76457633385,52603.0,52603.0
2022-04-20,47822.72091565258,52499.0,52499.0
2022-04-21,47688.71670390792,52356.0,52356.0
2022-04-22,47766.74650762776,52250.0,52250.0
2022-04-25,46718.504348385235,51462.0,51462.0
2022-04-26,46958.41304033308,51655.0,51655.0
2022-04-27,46430.015914607684,51357.0,51357.0
2022-04-28,46542.96140305753,51391.0,51391.0
2022-04-29,47037.56811934348,51809.0,51809.0
2022-05-02,47037.56811934348,50831.0,50831.0
2022-05-03,45998.77827254167,51022.0,51022.0
2022-05-04,45691.12800810198,50836.0,50836.0
2022-05-05,46558.23299628659,51653.0,51653.0
2022-05-06,46572.82942434131,51381.0,51381.0
2022-05-09,46310.25447296928,51026.0,51026.0
2022-05-10,46152.58732940023,50662.0,50662.0
2022-05-11,46026.492195412095,50862.0,50862.0
2022-05-12,45697.011590335496,50249.0,50249.0
2022-05-13,45096.17888662047,49944.0,49944.0
2022-05-16,45063.70665680711,50291.0,50291.0
2022-05-17,45469.32017297088,50237.0,50237.0
2022-05-18,45249.21632613693,50235.0,50235.0
2022-05-19,45921.58438760912,50579.0,50579.0
2022-05-20,45920.20190653785,50842.0,50842.0
2022-05-23,46271.06274213514,50934.0,50934.0
2022-05-24,46543.475814618934,51146.0,51146.0
2022-05-25,46057.03538187021,50815.0,50815.0
2022-05-26,46140.43435626216,50858.0,50858.0
2022-05-27,46219.235777324095,50961.0,50961.0
2022-05-30,46243.959682993875,50908.0,50908.0
2022-05-31,45888.21193756329,50924.0,50924.0
2022-06-01,46016.52547140997,50504.0,50504.0
2022-06-02,46016.52547140997,51078.0,51078.0
2022-06-03,46016.52547140997,51287.0,51287.0
2022-06-06,46193.804555757386,50871.0,50871.0
2022-06-07,46174.38551931454,50929.0,50929.0
2022-06-08,46271.28779719323,51036.0,51036.0
2022-06-09,46168.5983892488,50971.0,50971.0
2022-06-10,45948.237336634134,51645.0,51645.0
2022-06-13,45963.283874805085,50682.0,50682.0
2022-06-14,45609.979584291155,50251.0,50251.0
2022-06-15,45815.7120581285,50433.0,50433.0
2022-06-16,45770.701046506016,50945.0,50945.0
2022-06-17,46196.569517899916,50824.0,50824.0
2022-06-20,46012.89243975759,50748.0,50748.0
2022-06-21,46220.168148279125,50775.0,50775.0
2022-06-22,46326.26553281785,50898.0,50898.0
2022-06-23,46279.13257350458,50608.0,50608.0
2022-06-24,45927.37151767487,50614.0,50614.0
2022-06-27,46062.66175832302,50681.0,50681.0
2022-06-28,46198.562862700346,50824.0,50824.0
2022-06-29,46142.106193836706,50836.0,50836.0
2022-06-30,46115.6461491472,50719.0,50719.0
2022-07-01,45611.36206536242,52227.0,52227.0
2022-07-04,45904.351600302216,51808.0,51808.0
2022-07-05,45117.6877200315,52238.0,52238.0
2022-07-06,44583.82497146623,50581.0,50581.0
2022-07-07,44470.42937290015,50691.0,50691.0
2022-07-08,44306.428536981366,50832.0,50832.0
2022-07-11,44464.54579066664,50709.0,50709.0
2022-07-12,44205.218062275955,50532.0,50532.0
2022-07-13,44158.052952240105,50849.0,50849.0
2022-07-14,43699.77655247801,50323.0,50323.0
2022-07-15,43756.71548218046,50212.0,50212.0
